clip,start,,,,id
3001_21_JUMP_STREET_01.08.45.035-01.08.47.457,01.08.45.035,01.08.47.457,01.08.45.035,01.08.47.457,_
3001_21_JUMP_STREET_01.08.48.039-01.08.53.799,01.08.48.039,01.08.53.799,01.08.48.039,01.08.53.799,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.08.54.462-01.08.59.853,01.08.54.462,01.08.59.853,01.08.54.462,01.08.59.853,_
3001_21_JUMP_STREET_01.09.20.879-01.09.22.187,01.09.20.879,01.09.22.187,01.09.20.533,01.09.22.533,_
3001_21_JUMP_STREET_01.09.22.187-01.09.22.496,01.09.22.187,01.09.22.496,01.09.21.342,01.09.23.342,[3001_PERSON10]
3001_21_JUMP_STREET_01.09.23.335-01.09.26.497,01.09.23.335,01.09.26.497,01.09.23.335,01.09.26.497,_
3001_21_JUMP_STREET_01.09.41.729-01.09.45.093,01.09.41.729,01.09.45.093,01.09.41.729,01.09.45.093,[3001_PERSON17]
3001_21_JUMP_STREET_01.09.49.637-01.09.53.302,01.09.49.637,01.09.53.302,01.09.49.637,01.09.53.302,_
3001_21_JUMP_STREET_01.09.53.302-01.09.56.849,01.09.53.302,01.09.56.849,01.09.53.302,01.09.56.849,_
3001_21_JUMP_STREET_01.10.03.983-01.10.06.310,01.10.03.983,01.10.06.310,01.10.03.983,01.10.06.310,[3001_PERSON10]
3001_21_JUMP_STREET_01.10.16.987-01.10.22.019,01.10.16.987,01.10.22.019,01.10.16.987,01.10.22.019,[3001_PERSON17]
3001_21_JUMP_STREET_01.10.22.019-01.10.25.718,01.10.22.019,01.10.25.718,01.10.22.019,01.10.25.718,[3001_PERSON10]
3001_21_JUMP_STREET_01.10.38.432-01.10.41.792,01.10.38.432,01.10.41.792,01.10.38.432,01.10.41.792,_
3001_21_JUMP_STREET_01.10.43.219-01.10.51.205,01.10.43.219,01.10.51.205,01.10.43.219,01.10.51.205,_
3001_21_JUMP_STREET_01.10.51.805-01.10.52.854,01.10.51.805,01.10.52.854,01.10.51.330,01.10.53.330,[3001_PERSON17]
3001_21_JUMP_STREET_01.10.55.104-01.10.59.438,01.10.55.104,01.10.59.438,01.10.55.104,01.10.59.438,_
3001_21_JUMP_STREET_01.11.05.938-01.11.07.559,01.11.05.938,01.11.07.559,01.11.05.749,01.11.07.749,_
3001_21_JUMP_STREET_01.11.07.559-01.11.13.940,01.11.07.559,01.11.13.940,01.11.07.559,01.11.13.940,_
3001_21_JUMP_STREET_01.11.12.389-01.11.13.925,01.11.12.389,01.11.13.925,01.11.12.157,01.11.14.157,_
3001_21_JUMP_STREET_01.11.15.134-01.11.16.894,01.11.15.134,01.11.16.894,01.11.15.014,01.11.17.014,_
3001_21_JUMP_STREET_01.11.17.541-01.11.21.340,01.11.17.541,01.11.21.340,01.11.17.541,01.11.21.340,_
3001_21_JUMP_STREET_01.11.21.726-01.11.24.862,01.11.21.726,01.11.24.862,01.11.21.726,01.11.24.862,_
3001_21_JUMP_STREET_01.11.31.878-01.11.34.061,01.11.31.878,01.11.34.061,01.11.31.878,01.11.34.061,[3001_PERSON17]
3001_21_JUMP_STREET_01.11.34.061-01.11.35.351,01.11.34.061,01.11.35.351,01.11.33.706,01.11.35.706,[3001_PERSON10]
3001_21_JUMP_STREET_01.11.36.102-01.11.40.759,01.11.36.102,01.11.40.759,01.11.36.102,01.11.40.759,[3001_PERSON10]
3001_21_JUMP_STREET_01.11.50.086-01.11.51.667,01.11.50.086,01.11.51.667,01.11.49.877,01.11.51.877,[3001_PERSON10]
3001_21_JUMP_STREET_01.11.53.316-01.11.53.996,01.11.53.316,01.11.53.996,01.11.52.656,01.11.54.656,[3001_PERSON10]
3001_21_JUMP_STREET_01.11.53.996-01.11.57.844,01.11.53.996,01.11.57.844,01.11.53.996,01.11.57.844,[3001_PERSON17]
3001_21_JUMP_STREET_01.11.59.065-01.12.00.473,01.11.59.065,01.12.00.473,01.11.58.769,01.12.00.769,[3001_PERSON17]
3001_21_JUMP_STREET_01.12.14.894-01.12.15.953,01.12.14.894,01.12.15.953,01.12.14.424,01.12.16.424,_
3001_21_JUMP_STREET_01.12.16.169-01.12.18.538,01.12.16.169,01.12.18.538,01.12.16.169,01.12.18.538,[3001_PERSON10]
3001_21_JUMP_STREET_01.12.18.538-01.12.22.966,01.12.18.538,01.12.22.966,01.12.18.538,01.12.22.966,_
3001_21_JUMP_STREET_01.12.22.966-01.12.24.693,01.12.22.966,01.12.24.693,01.12.22.830,01.12.24.830,_
3001_21_JUMP_STREET_01.12.34.541-01.12.37.442,01.12.34.541,01.12.37.442,01.12.34.541,01.12.37.442,_
3001_21_JUMP_STREET_01.12.53.256-01.12.56.256,01.12.53.256,01.12.56.256,01.12.53.256,01.12.56.256,_
3001_21_JUMP_STREET_01.12.56.356-01.12.57.356,01.12.56.356,01.12.57.356,01.12.55.856,01.12.57.856,"[3001_PERSON17],[3001_PERSON12]"
3001_21_JUMP_STREET_01.13.10.705-01.13.13.005,01.13.10.705,01.13.13.005,01.13.10.705,01.13.13.005,[3001_PERSON10]
3001_21_JUMP_STREET_01.13.13.705-01.13.19.540,01.13.13.705,01.13.19.540,01.13.13.705,01.13.19.540,[3001_PERSON10]
3001_21_JUMP_STREET_01.13.23.397-01.13.27.684,01.13.23.397,01.13.27.684,01.13.23.397,01.13.27.684,_
3001_21_JUMP_STREET_01.13.32.837-01.13.36.532,01.13.32.837,01.13.36.532,01.13.32.837,01.13.36.532,_
3001_21_JUMP_STREET_01.13.37.065-01.13.40.037,01.13.37.065,01.13.40.037,01.13.37.065,01.13.40.037,_
3001_21_JUMP_STREET_01.13.44.849-01.13.48.533,01.13.44.849,01.13.48.533,01.13.44.849,01.13.48.533,[3001_PERSON17]
3001_21_JUMP_STREET_01.13.48.533-01.13.51.702,01.13.48.533,01.13.51.702,01.13.48.533,01.13.51.702,_
3001_21_JUMP_STREET_01.13.52.310-01.13.55.563,01.13.52.310,01.13.55.563,01.13.52.310,01.13.55.563,_
3001_21_JUMP_STREET_01.13.55.563-01.13.57.473,01.13.55.563,01.13.57.473,01.13.55.518,01.13.57.518,_
3001_21_JUMP_STREET_01.13.57.473-01.14.00.449,01.13.57.473,01.14.00.449,01.13.57.473,01.14.00.449,_
3001_21_JUMP_STREET_01.14.06.901-01.14.09.992,01.14.06.901,01.14.09.992,01.14.06.901,01.14.09.992,_
3001_21_JUMP_STREET_01.14.16.433-01.14.21.377,01.14.16.433,01.14.21.377,01.14.16.433,01.14.21.377,_
3001_21_JUMP_STREET_01.14.22.505-01.14.24.669,01.14.22.505,01.14.24.669,01.14.22.505,01.14.24.669,[3001_PERSON10]
3001_21_JUMP_STREET_01.14.31.500-01.14.32.716,01.14.31.500,01.14.32.716,01.14.31.108,01.14.33.108,[3001_PERSON17]
3001_21_JUMP_STREET_01.14.32.816-01.14.33.816,01.14.32.816,01.14.33.816,01.14.32.316,01.14.34.316,[3001_PERSON17]
3001_21_JUMP_STREET_01.14.33.916-01.14.36.716,01.14.33.916,01.14.36.716,01.14.33.916,01.14.36.716,_
3001_21_JUMP_STREET_01.14.38.997-01.14.44.052,01.14.38.997,01.14.44.052,01.14.38.997,01.14.44.052,[3001_PERSON17]
3001_21_JUMP_STREET_01.14.49.198-01.14.51.293,01.14.49.198,01.14.51.293,01.14.49.198,01.14.51.293,_
3001_21_JUMP_STREET_01.14.52.093-01.14.53.447,01.14.52.093,01.14.53.447,01.14.51.770,01.14.53.770,[3001_PERSON10]
3001_21_JUMP_STREET_01.14.53.447-01.14.54.147,01.14.53.447,01.14.54.147,01.14.52.797,01.14.54.797,_
3001_21_JUMP_STREET_01.14.56.018-01.14.57.952,01.14.56.018,01.14.57.952,01.14.55.985,01.14.57.985,_
3001_21_JUMP_STREET_01.14.58.172-01.15.00.973,01.14.58.172,01.15.00.973,01.14.58.172,01.15.00.973,_
3001_21_JUMP_STREET_01.15.01.363-01.15.05.528,01.15.01.363,01.15.05.528,01.15.01.363,01.15.05.528,_
3001_21_JUMP_STREET_01.15.23.442-01.15.25.345,01.15.23.442,01.15.25.345,01.15.23.394,01.15.25.394,[3001_PERSON10]
3001_21_JUMP_STREET_01.15.25.672-01.15.29.922,01.15.25.672,01.15.29.922,01.15.25.672,01.15.29.922,[3001_PERSON17]
3001_21_JUMP_STREET_01.15.59.827-01.16.03.827,01.15.59.827,01.16.03.827,01.15.59.827,01.16.03.827,[3001_PERSON12]
3001_21_JUMP_STREET_01.16.03.827-01.16.08.049,01.16.03.827,01.16.08.049,01.16.03.827,01.16.08.049,[3001_PERSON17]
3001_21_JUMP_STREET_01.16.16.926-01.16.24.472,01.16.16.926,01.16.24.472,01.16.16.926,01.16.24.472,[3001_PERSON17]
3001_21_JUMP_STREET_01.16.35.129-01.16.37.251,01.16.35.129,01.16.37.251,01.16.35.129,01.16.37.251,[3001_PERSON10]
3001_21_JUMP_STREET_01.16.37.251-01.16.40.644,01.16.37.251,01.16.40.644,01.16.37.251,01.16.40.644,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.16.43.930-01.16.45.804,01.16.43.930,01.16.45.804,01.16.43.867,01.16.45.867,_
3001_21_JUMP_STREET_01.16.45.848-01.16.51.105,01.16.45.848,01.16.51.105,01.16.45.848,01.16.51.105,_
3001_21_JUMP_STREET_01.16.57.399-01.17.01.050,01.16.57.399,01.17.01.050,01.16.57.399,01.17.01.050,[3001_PERSON10]
3001_21_JUMP_STREET_01.17.02.270-01.17.04.832,01.17.02.270,01.17.04.832,01.17.02.270,01.17.04.832,"[3001_PERSON17],[3001_PERSON12]"
3001_21_JUMP_STREET_01.17.08.818-01.17.11.141,01.17.08.818,01.17.11.141,01.17.08.818,01.17.11.141,[3001_PERSON17]
3001_21_JUMP_STREET_01.17.11.333-01.17.14.151,01.17.11.333,01.17.14.151,01.17.11.333,01.17.14.151,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.17.14.892-01.17.19.720,01.17.14.892,01.17.19.720,01.17.14.892,01.17.19.720,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.17.21.537-01.17.25.258,01.17.21.537,01.17.25.258,01.17.21.537,01.17.25.258,[3001_PERSON17]
3001_21_JUMP_STREET_01.17.25.258-01.17.31.252,01.17.25.258,01.17.31.252,01.17.25.258,01.17.31.252,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.17.36.651-01.17.37.634,01.17.36.651,01.17.37.634,01.17.36.143,01.17.38.143,[3001_PERSON17]
3001_21_JUMP_STREET_01.17.37.634-01.17.39.627,01.17.37.634,01.17.39.627,01.17.37.631,01.17.39.631,_
3001_21_JUMP_STREET_01.17.42.625-01.17.44.752,01.17.42.625,01.17.44.752,01.17.42.625,01.17.44.752,_
3001_21_JUMP_STREET_01.17.44.752-01.17.45.960,01.17.44.752,01.17.45.960,01.17.44.356,01.17.46.356,_
3001_21_JUMP_STREET_01.17.46.514-01.17.51.320,01.17.46.514,01.17.51.320,01.17.46.514,01.17.51.320,[3001_PERSON20]
3001_21_JUMP_STREET_01.17.55.511-01.17.59.717,01.17.55.511,01.17.59.717,01.17.55.511,01.17.59.717,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.18.02.456-01.18.05.487,01.18.02.456,01.18.05.487,01.18.02.456,01.18.05.487,[3001_PERSON6]
3001_21_JUMP_STREET_01.18.05.587-01.18.07.069,01.18.05.587,01.18.07.069,01.18.05.328,01.18.07.328,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.18.11.037-01.18.12.390,01.18.11.037,01.18.12.390,01.18.10.714,01.18.12.714,_
3001_21_JUMP_STREET_01.18.12.390-01.18.15.264,01.18.12.390,01.18.15.264,01.18.12.390,01.18.15.264,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.18.15.990-01.18.18.447,01.18.15.990,01.18.18.447,01.18.15.990,01.18.18.447,_
3001_21_JUMP_STREET_01.18.15.990-01.18.17.803,01.18.15.990,01.18.17.803,01.18.15.897,01.18.17.897,_
3001_21_JUMP_STREET_01.18.19.790-01.18.20.890,01.18.19.790,01.18.20.890,01.18.19.340,01.18.21.340,[3001_PERSON10]
3001_21_JUMP_STREET_01.18.30.329-01.18.32.353,01.18.30.329,01.18.32.353,01.18.30.329,01.18.32.353,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.18.32.575-01.18.35.133,01.18.32.575,01.18.35.133,01.18.32.575,01.18.35.133,_
3001_21_JUMP_STREET_01.18.37.772-01.18.39.541,01.18.37.772,01.18.39.541,01.18.37.657,01.18.39.657,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.18.37.488-01.18.41.088,01.18.37.488,01.18.41.088,01.18.37.488,01.18.41.088,_
3001_21_JUMP_STREET_01.18.41.493-01.18.44.601,01.18.41.493,01.18.44.601,01.18.41.493,01.18.44.601,[3001_PERSON12]
3001_21_JUMP_STREET_01.18.44.701-01.18.47.721,01.18.44.701,01.18.47.721,01.18.44.701,01.18.47.721,[3001_PERSON17]
3001_21_JUMP_STREET_01.18.47.821-01.18.49.885,01.18.47.821,01.18.49.885,01.18.47.821,01.18.49.885,[3001_PERSON12]
3001_21_JUMP_STREET_01.18.51.499-01.18.54.586,01.18.51.499,01.18.54.586,01.18.51.499,01.18.54.586,[3001_PERSON17]
3001_21_JUMP_STREET_01.18.54.686-01.18.59.042,01.18.54.686,01.18.59.042,01.18.54.686,01.18.59.042,[3001_PERSON10]
3001_21_JUMP_STREET_01.18.58.974-01.19.00.349,01.18.58.974,01.19.00.349,01.18.58.662,01.19.00.662,[3001_PERSON17]
3001_21_JUMP_STREET_01.18.59.249-01.19.04.511,01.18.59.249,01.19.04.511,01.18.59.249,01.19.04.511,_
3001_21_JUMP_STREET_01.19.04.811-01.19.11.623,01.19.04.811,01.19.11.623,01.19.04.811,01.19.11.623,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.19.11.875-01.19.14.512,01.19.11.875,01.19.14.512,01.19.11.875,01.19.14.512,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.19.15.185-01.19.19.113,01.19.15.185,01.19.19.113,01.19.15.185,01.19.19.113,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.19.23.705-01.19.27.241,01.19.23.705,01.19.27.241,01.19.23.705,01.19.27.241,[3001_PERSON10]
3001_21_JUMP_STREET_01.19.30.826-01.19.36.016,01.19.30.826,01.19.36.016,01.19.30.826,01.19.36.016,[3001_PERSON17]
3001_21_JUMP_STREET_01.19.36.595-01.19.39.659,01.19.36.595,01.19.39.659,01.19.36.595,01.19.39.659,"[3001_PERSON10],[3001_PERSON6]"
3001_21_JUMP_STREET_01.19.53.779-01.20.00.751,01.19.53.779,01.20.00.751,01.19.53.779,01.20.00.751,[3001_PERSON6]
3001_21_JUMP_STREET_01.20.01.579-01.20.03.195,01.20.01.579,01.20.03.195,01.20.01.387,01.20.03.387,_
3001_21_JUMP_STREET_01.20.52.996-01.20.54.710,01.20.52.996,01.20.54.710,01.20.52.853,01.20.54.853,[3001_PERSON6]
3001_21_JUMP_STREET_01.20.59.376-01.21.01.545,01.20.59.376,01.21.01.545,01.20.59.376,01.21.01.545,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.21.03.909-01.21.06.181,01.21.03.909,01.21.06.181,01.21.03.909,01.21.06.181,[3001_PERSON6]
3001_21_JUMP_STREET_01.21.11.802-01.21.12.628,01.21.11.802,01.21.12.628,01.21.11.215,01.21.13.215,_
3001_21_JUMP_STREET_01.21.13.533-01.21.17.785,01.21.13.533,01.21.17.785,01.21.13.533,01.21.17.785,_
3001_21_JUMP_STREET_01.21.19.193-01.21.23.346,01.21.19.193,01.21.23.346,01.21.19.193,01.21.23.346,[3001_PERSON6]
3001_21_JUMP_STREET_01.21.35.329-01.21.38.297,01.21.35.329,01.21.38.297,01.21.35.329,01.21.38.297,_
3001_21_JUMP_STREET_01.21.35.258-01.21.38.300,01.21.35.258,01.21.38.300,01.21.35.258,01.21.38.300,_
3001_21_JUMP_STREET_01.21.41.508-01.21.46.841,01.21.41.508,01.21.46.841,01.21.41.508,01.21.46.841,[3001_PERSON10]
3001_21_JUMP_STREET_01.21.47.378-01.21.49.325,01.21.47.378,01.21.49.325,01.21.47.352,01.21.49.352,[3001_PERSON17]
3001_21_JUMP_STREET_01.21.49.717-01.21.51.626,01.21.49.717,01.21.51.626,01.21.49.672,01.21.51.672,[3001_PERSON10]
3001_21_JUMP_STREET_01.21.51.626-01.21.53.633,01.21.51.626,01.21.53.633,01.21.51.626,01.21.53.633,[3001_PERSON17]
3001_21_JUMP_STREET_01.21.54.220-01.21.57.823,01.21.54.220,01.21.57.823,01.21.54.220,01.21.57.823,_
3001_21_JUMP_STREET_01.22.06.924-01.22.11.602,01.22.06.924,01.22.11.602,01.22.06.924,01.22.11.602,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.22.11.587-01.22.13.838,01.22.11.587,01.22.13.838,01.22.11.587,01.22.13.838,[3001_PERSON10]
3001_21_JUMP_STREET_01.22.13.110-01.22.13.996,01.22.13.110,01.22.13.996,01.22.12.553,01.22.14.553,_
3001_21_JUMP_STREET_01.22.13.250-01.22.14.506,01.22.13.250,01.22.14.506,01.22.12.878,01.22.14.878,[3001_PERSON17]
3001_21_JUMP_STREET_01.22.14.832-01.22.16.067,01.22.14.832,01.22.16.067,01.22.14.450,01.22.16.450,_
3001_21_JUMP_STREET_01.22.16.167-01.22.18.162,01.22.16.167,01.22.18.162,01.22.16.165,01.22.18.165,[3001_PERSON10]
3001_21_JUMP_STREET_01.22.18.162-01.22.20.780,01.22.18.162,01.22.20.780,01.22.18.162,01.22.20.780,_
3001_21_JUMP_STREET_01.22.21.156-01.22.29.067,01.22.21.156,01.22.29.067,01.22.21.156,01.22.29.067,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.22.32.366-01.22.35.991,01.22.32.366,01.22.35.991,01.22.32.366,01.22.35.991,[3001_PERSON17]
3001_21_JUMP_STREET_01.22.36.230-01.22.40.650,01.22.36.230,01.22.40.650,01.22.36.230,01.22.40.650,[3001_PERSON17]
3001_21_JUMP_STREET_01.22.41.874-01.22.44.647,01.22.41.874,01.22.44.647,01.22.41.874,01.22.44.647,_
3001_21_JUMP_STREET_01.22.46.238-01.22.49.311,01.22.46.238,01.22.49.311,01.22.46.238,01.22.49.311,[3001_PERSON10]
3001_21_JUMP_STREET_01.22.49.308-01.22.51.706,01.22.49.308,01.22.51.706,01.22.49.308,01.22.51.706,[3001_PERSON17]
3001_21_JUMP_STREET_01.22.55.577-01.22.59.262,01.22.55.577,01.22.59.262,01.22.55.577,01.22.59.262,_
3001_21_JUMP_STREET_01.23.01.173-01.23.03.623,01.23.01.173,01.23.03.623,01.23.01.173,01.23.03.623,[3001_PERSON10]
3001_21_JUMP_STREET_01.23.04.299-01.23.09.362,01.23.04.299,01.23.09.362,01.23.04.299,01.23.09.362,_
3001_21_JUMP_STREET_01.23.26.810-01.23.28.812,01.23.26.810,01.23.28.812,01.23.26.810,01.23.28.812,_
3001_21_JUMP_STREET_01.23.28.812-01.23.33.922,01.23.28.812,01.23.33.922,01.23.28.812,01.23.33.922,[3001_PERSON17]
3001_21_JUMP_STREET_01.23.33.922-01.23.37.091,01.23.33.922,01.23.37.091,01.23.33.922,01.23.37.091,[3001_PERSON10]
3001_21_JUMP_STREET_01.23.37.191-01.23.40.965,01.23.37.191,01.23.40.965,01.23.37.191,01.23.40.965,"[3001_PERSON21],[3001_PERSON16]"
3001_21_JUMP_STREET_01.23.41.573-01.23.46.801,01.23.41.573,01.23.46.801,01.23.41.573,01.23.46.801,_
3001_21_JUMP_STREET_01.23.47.313-01.23.50.540,01.23.47.313,01.23.50.540,01.23.47.313,01.23.50.540,[3001_PERSON10]
3001_21_JUMP_STREET_01.23.53.709-01.23.54.641,01.23.53.709,01.23.54.641,01.23.53.175,01.23.55.175,_
3001_21_JUMP_STREET_01.23.55.612-01.24.02.005,01.23.55.612,01.24.02.005,01.23.55.612,01.24.02.005,"[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.24.02.835-01.24.05.330,01.24.02.835,01.24.05.330,01.24.02.835,01.24.05.330,_
3001_21_JUMP_STREET_01.24.07.367-01.24.11.812,01.24.07.367,01.24.11.812,01.24.07.367,01.24.11.812,"[3001_PERSON8],[3001_PERSON10]"
3001_21_JUMP_STREET_01.24.27.793-01.24.29.326,01.24.27.793,01.24.29.326,01.24.27.560,01.24.29.560,[3001_PERSON8]
3001_21_JUMP_STREET_01.24.31.305-01.24.35.270,01.24.31.305,01.24.35.270,01.24.31.305,01.24.35.270,"[3001_PERSON8],[3001_PERSON10]"
3001_21_JUMP_STREET_01.24.36.824-01.24.40.873,01.24.36.824,01.24.40.873,01.24.36.824,01.24.40.873,[3001_PERSON12]
3001_21_JUMP_STREET_01.24.41.424-01.24.43.758,01.24.41.424,01.24.43.758,01.24.41.424,01.24.43.758,[3001_PERSON17]
3001_21_JUMP_STREET_01.24.43.758-01.24.45.686,01.24.43.758,01.24.45.686,01.24.43.722,01.24.45.722,[3001_PERSON17]
3001_21_JUMP_STREET_01.25.23.341-01.25.26.191,01.25.23.341,01.25.26.191,01.25.23.341,01.25.26.191,[3001_PERSON12]
3001_21_JUMP_STREET_01.25.26.216-01.25.34.490,01.25.26.216,01.25.34.490,01.25.26.216,01.25.34.490,"[3001_PERSON6],[3001_PERSON17],[3001_PERSON10]"
3001_21_JUMP_STREET_01.25.36.110-01.25.42.393,01.25.36.110,01.25.42.393,01.25.36.110,01.25.42.393,[3001_PERSON20]
3001_21_JUMP_STREET_01.25.52.945-01.25.56.330,01.25.52.945,01.25.56.330,01.25.52.945,01.25.56.330,_
3001_21_JUMP_STREET_01.25.59.578-01.26.02.946,01.25.59.578,01.26.02.946,01.25.59.578,01.26.02.946,_
3001_21_JUMP_STREET_01.26.17.815-01.26.21.102,01.26.17.815,01.26.21.102,01.26.17.815,01.26.21.102,[3001_PERSON20]
3001_21_JUMP_STREET_01.26.21.439-01.26.22.401,01.26.21.439,01.26.22.401,01.26.20.920,01.26.22.920,"[3001_PERSON20],[3001_PERSON17]"
3001_21_JUMP_STREET_01.26.24.383-01.26.30.183,01.26.24.383,01.26.30.183,01.26.24.383,01.26.30.183,[3001_PERSON20]
3001_21_JUMP_STREET_01.26.30.183-01.26.33.173,01.26.30.183,01.26.33.173,01.26.30.183,01.26.33.173,"[3001_PERSON10],[3001_PERSON17]"
3001_21_JUMP_STREET_01.26.37.526-01.26.40.078,01.26.37.526,01.26.40.078,01.26.37.526,01.26.40.078,[3001_PERSON4]
3001_21_JUMP_STREET_01.26.41.392-01.26.43.710,01.26.41.392,01.26.43.710,01.26.41.392,01.26.43.710,_
3001_21_JUMP_STREET_01.26.57.380-01.27.00.168,01.26.57.380,01.27.00.168,01.26.57.380,01.27.00.168,_
3001_21_JUMP_STREET_01.27.01.827-01.27.04.724,01.27.01.827,01.27.04.724,01.27.01.827,01.27.04.724,_
3001_21_JUMP_STREET_01.27.20.360-01.27.25.465,01.27.20.360,01.27.25.465,01.27.20.360,01.27.25.465,[3001_PERSON17]
3001_21_JUMP_STREET_01.28.00.399-01.28.01.240,01.28.00.399,01.28.01.240,01.27.59.820,01.28.01.820,[3001_PERSON17]
3001_21_JUMP_STREET_01.28.08.425-01.28.10.525,01.28.08.425,01.28.10.525,01.28.08.425,01.28.10.525,_
3001_21_JUMP_STREET_01.28.51.533-01.28.53.277,01.28.51.533,01.28.53.277,01.28.51.405,01.28.53.405,"[3001_PERSON2],[3001_PERSON6]"
3001_21_JUMP_STREET_01.28.55.802-01.28.58.181,01.28.55.802,01.28.58.181,01.28.55.802,01.28.58.181,[3001_PERSON20]
3001_21_JUMP_STREET_01.28.58.878-01.29.00.533,01.28.58.878,01.29.00.533,01.28.58.706,01.29.00.706,"[3001_PERSON12],[3001_PERSON6]"
3001_21_JUMP_STREET_01.29.02.037-01.29.02.827,01.29.02.037,01.29.02.827,01.29.01.432,01.29.03.432,[3001_PERSON20]
3001_21_JUMP_STREET_01.29.16.708-01.29.17.872,01.29.16.708,01.29.17.872,01.29.16.290,01.29.18.290,[3001_PERSON12]
3001_21_JUMP_STREET_01.29.33.645-01.29.37.811,01.29.33.645,01.29.37.811,01.29.33.645,01.29.37.811,_
3001_21_JUMP_STREET_01.29.44.460-01.29.46.243,01.29.44.460,01.29.46.243,01.29.44.352,01.29.46.352,_
3001_21_JUMP_STREET_01.29.51.706-01.29.56.301,01.29.51.706,01.29.56.301,01.29.51.706,01.29.56.301,[3001_PERSON3]
3001_21_JUMP_STREET_01.29.57.181-01.29.58.552,01.29.57.181,01.29.58.552,01.29.56.867,01.29.58.867,[3001_PERSON3]
3001_21_JUMP_STREET_01.29.59.034-01.30.00.261,01.29.59.034,01.30.00.261,01.29.58.648,01.30.00.648,[3001_PERSON3]
3001_21_JUMP_STREET_01.29.59.462-01.30.07.548,01.29.59.462,01.30.07.548,01.29.59.462,01.30.07.548,"[3001_PERSON9],[3001_PERSON14]"
3001_21_JUMP_STREET_01.30.12.211-01.30.13.398,01.30.12.211,01.30.13.398,01.30.11.805,01.30.13.805,[3001_PERSON9]
3001_21_JUMP_STREET_01.30.30.037-01.30.33.078,01.30.30.037,01.30.33.078,01.30.30.037,01.30.33.078,"[3001_PERSON20],[3001_PERSON12]"
3001_21_JUMP_STREET_01.31.00.310-01.31.02.254,01.31.00.310,01.31.02.254,01.31.00.282,01.31.02.282,_
3001_21_JUMP_STREET_01.31.01.823-01.31.03.424,01.31.01.823,01.31.03.424,01.31.01.624,01.31.03.624,[3001_PERSON4]
3001_21_JUMP_STREET_01.31.04.931-01.31.10.002,01.31.04.931,01.31.10.002,01.31.04.931,01.31.10.002,[3001_PERSON9]
3001_21_JUMP_STREET_01.31.10.002-01.31.11.370,01.31.10.002,01.31.11.370,01.31.09.686,01.31.11.686,[3001_PERSON10]
3001_21_JUMP_STREET_01.31.11.370-01.31.12.107,01.31.11.370,01.31.12.107,01.31.10.739,01.31.12.739,[3001_PERSON17]
3001_21_JUMP_STREET_01.31.12.107-01.31.13.981,01.31.12.107,01.31.13.981,01.31.12.044,01.31.14.044,[3001_PERSON17]
3001_21_JUMP_STREET_01.31.13.981-01.31.16.098,01.31.13.981,01.31.16.098,01.31.13.981,01.31.16.098,[3001_PERSON6]
3001_21_JUMP_STREET_01.31.16.098-01.31.23.214,01.31.16.098,01.31.23.214,01.31.16.098,01.31.23.214,_
3001_21_JUMP_STREET_01.31.25.116-01.31.27.829,01.31.25.116,01.31.27.829,01.31.25.116,01.31.27.829,_
3001_21_JUMP_STREET_01.31.27.829-01.31.30.822,01.31.27.829,01.31.30.822,01.31.27.829,01.31.30.822,[3001_PERSON10]
3001_21_JUMP_STREET_01.31.31.122-01.31.32.364,01.31.31.122,01.31.32.364,01.31.30.743,01.31.32.743,[3001_PERSON20]
3001_21_JUMP_STREET_01.31.32.760-01.31.33.560,01.31.32.760,01.31.33.560,01.31.32.160,01.31.34.160,[3001_PERSON20]
3001_21_JUMP_STREET_01.31.33.560-01.31.35.756,01.31.33.560,01.31.35.756,01.31.33.560,01.31.35.756,"[3001_PERSON20],[3001_PERSON6]"
3001_21_JUMP_STREET_01.31.37.889-01.31.41.359,01.31.37.889,01.31.41.359,01.31.37.889,01.31.41.359,[3001_PERSON10]
3001_21_JUMP_STREET_01.31.41.359-01.31.44.156,01.31.41.359,01.31.44.156,01.31.41.359,01.31.44.156,[3001_PERSON17]
